video_id,title,channel_name,published_at,publish_year,publish_month,days_since_publish,duration,views,likes,comments,views_per_day,is_viral,language_code,language_name,region_fetched,category_id,fetched_at
6ZUIwj3FgUY,IVE 아이브 'I AM' MV,STARSHIP,2023-04-10,2023,4,1091,PT3M5S,376714996,2685075.0,136405.0,345293.31,1,ko,Korean,search,10,2026-04-05 12:41:53
RoqpBYGvbe4,មិនទាន់ចេះស្លរតែចង់បានប្ដី | Full Song ai...,POP MUSIC LOVE - Topic,2026-03-29,2026,3,7,PT5M13S,230267,1380.0,6.0,32895.29,0,km,km,KH,10,2026-04-05 12:41:53
73AkgrZ352I,Kaushik Bharwad - Dil Mare Devanu Chhe Danma | Gujarati Mashup | New Gujarati Song 2021,Goga Star Films Media,2021-04-14,2021,4,1817,PT8M58S,20723283,123849.0,1541.0,11405.22,0,en,English,search,10,2026-04-05 12:41:53
y3Jc2kxaqdw,KHESARI LAL YADAV SUPERHIT MOVIE SONG - Saj Ke Sawar Ke (HD) | BHOJPURI SUPERHIT FULL VIDEO SONG,Wave Music Bhojpuri,2017-12-22,2017,12,3025,PT2M47S,609403405,1803790.0,57045.0,201455.67,1,hi,Hindi,search,10,2026-04-05 12:41:53
RkUDv7yrQos,Shaky - Sanju Rathod #sanjurathod #shaky #marathi #ishamalviya #shorts,Sanju Rathod SR,2025-05-13,2025,5,327,PT27S,29365691,252498.0,664.0,89803.34,0,en,English,search,10,2026-04-05 12:41:53
FRTvF-OR4M4,"Rob Deniel performs ""Ikaw Sana"" and ""Nandito Ako"" LIVE on Wish 107.5",Wish 107.5,2025-07-06,2025,7,272,PT6M14S,91730908,302457.0,9540.0,337245.99,1,en,English,search,10,2026-04-05 12:41:53
Anyl2uyr6xA,Jamal Kudu | Viral Song | Live Singing Ankita Bhattacharyya #youtube #viral #trending,Jhilmil Studio,2024-01-19,2024,1,807,PT16S,50415563,1199643.0,2960.0,62472.82,0,en-IN,en-IN,search,10,2026-04-05 12:41:53
jxCRlebiebw,The GOAT (Official Trailer) Tamil: Thalapathy Vijay | Venkat Prabhu | Yuvan Shankar Raja | T-Series,T-Series,2024-08-17,2024,8,596,PT2M52S,59208469,1495968.0,65170.0,99343.07,0,en,English,search,10,2026-04-05 12:41:53
RdIGlfq8Qqg,O Mari Vali Re - Kaushik Bharwad | ABCD 2 | લે ફરર ફુદડી | New Garba Song @gujaratisinger7019 ,Gujarati Singer,2025-08-22,2025,8,226,PT3M33S,29203546,112070.0,1582.0,129219.23,1,gu,Gujarati,search,10,2026-04-05 12:41:53
ABUOwTuuW94,"Mehandi Circus | Kodi Aruvi Video Song | Sean Roldan | Ranga, Shweta Tripathi | Saravana Rajendran",Think Music India,2019-04-17,2019,4,2545,PT3M33S,162315883,578029.0,19706.0,63778.34,0,en,English,search,10,2026-04-05 12:41:53
OKDGEYVzIGI,Defender (Full Video) Harf Cheema - Sudesh Kumari - Sruishty Mann - Latest Punjabi Song - Geet MP3,Geet MP3,2025-01-03,2025,1,457,PT3M32S,96560241,407797.0,5543.0,211291.56,1,en-GB,en-GB,search,10,2026-04-05 12:41:53
YbvHC93cLgQ,"Serik Ibragimov - Juregimniñ áni | #2 EP ALBUM ""Sen ketkeli""",Serik Ibragimov,2026-03-24,2026,3,11,PT3M26S,166628,1373.0,91.0,15148.0,0,kk,kk,KZ,1,2026-04-05 12:41:53
ST-Oi0oqt6A,Nanhe Nanhe Ghungroo (Official Video) Uttar Kumar | Divyanka | Haryanvi Songs Haryanavi 2024,Tammo Music,2024-01-07,2024,1,819,PT2M12S,61364075,195468.0,2638.0,74925.61,0,en,English,search,10,2026-04-05 12:41:53
Q7j2riFSqnw,AFROBEATS 2026 PARTY VIDEO MIX | NAIJA 2026 PARTY VIDEO MIX | AMAPIANO | AFROPIANO | AFROBEAT |NAIJA,DJ BOAT,2025-10-25,2025,10,161,PT1H1M55S,1795305,6930.0,152.0,11150.96,0,en,English,search,10,2026-04-05 12:41:53
27_zaWWkMBE,Best Slow Turkish Music 2025 Top 10 Relaxing Turkish Song,Carlos Music,2025-01-23,2025,1,437,PT41M50S,3779237,18944.0,721.0,8648.14,0,en,English,search,10,2026-04-05 12:41:53
68lN2pTjiXc,Khalid - Young Dumb & Broke (Lyrics),DopeMusic,2026-03-21,2026,3,14,PT3M25S,730255,1528.0,19.0,52161.07,0,en,English,PH,10,2026-04-05 12:41:53
F7tngebCPHw,That thank you 😭 #blackpink#rosé#brunomars#shorts,Jixoo Bear,2024-11-22,2024,11,498,PT17S,7936645,379827.0,1121.0,15937.04,0,en,English,search,10,2026-04-05 12:41:53
p7wDS1VV3n4,"RUKUM MAIKOT - New Nepali Movie khusma Song 2024 | Ft. Dhiraj Magar, Upasana Singh Thakuri",Kendra Motion Pictures,2024-08-25,2024,8,588,PT5M16S,174901321,915368.0,21595.0,297451.23,1,en,English,search,10,2026-04-05 12:41:53
sNKD014uRj0,"Ninnila Full Video Song | Tholi Prema Video Songs | Varun Tej, Raashi Khanna | SS Thaman",Aditya Music,2018-04-18,2018,4,2909,PT4M21S,59849782,245787.0,6859.0,20574.01,0,en,English,search,10,2026-04-05 12:41:53
50dZ2xoiN2k,"Kalalo Kooda Music Video | Liger (Telugu) | Vijay Deverakonda, Ananya Panday | Tanishk Bagchi",Sony Music South,2022-08-30,2022,8,1314,PT3M15S,45965198,241274.0,2299.0,34981.12,0,en-GB,en-GB,search,10,2026-04-05 12:41:53
z4j9BhlmSSU,Ana Carolina - Quem De Nós Dois (La Mia Storia Tra Le Dita) (Ao Vivo),anacarolinaVEVO,2012-08-17,2012,8,4978,PT5M4S,367554381,1515362.0,46582.0,73835.75,0,pt-PT,pt-PT,search,10,2026-04-05 12:41:53
VSAx72oNyqM,W.I.N. (Prod. by GRAY),OSUN - Topic,2026-03-27,2026,3,9,PT5M7S,796073,7472.0,0.0,88452.56,0,en,English,KR,10,2026-04-05 12:41:53
lnQ3N52PmRs,I feel bad for Rosé 🥺😢 #rosé #blackpink,Blackpink-edits,2024-08-03,2024,8,610,PT14S,15191667,381736.0,5447.0,24904.37,0,en,English,search,10,2026-04-05 12:41:53
ae4q8Gf5JJo,🇮🇳 Shake it to the max – Hindi ver. #Shorts,Cha Dabin,2025-07-16,2025,7,262,PT15S,62548372,563284.0,17074.0,238734.24,1,en,English,search,10,2026-04-05 12:41:53
Db5uj_kaVQI,"6uff, ODUMODUBLVCK - 10 Minutes (Visualizer)",6UFF,2026-03-12,2026,3,23,PT2M34S,5662121,60271.0,2572.0,246179.17,1,en,English,NG,22,2026-04-05 12:41:53
Cb70gcTVvYI,"BTS (방탄소년단) '달려라 방탄 (Run BTS)' @ BTS ""Yet To Come"" in BUSAN",BANGTANTV,2022-10-16,2022,10,1267,PT3M30S,86134837,2168066.0,58397.0,67983.3,0,ko,Korean,search,10,2026-04-05 12:41:53
gqRW9EsHDxI,Shakeeni: Gurnam Bhullar | Kaptaan | Desi Crew | Diamondstar Worldwide | New Punjabi Song 2024,Diamondstar Worldwide,2024-11-08,2024,11,513,PT3M55S,8058313,44701.0,1022.0,15708.21,0,en,English,search,10,2026-04-05 12:41:53
Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,2017-09-20,2017,9,3119,PT3M12S,199324586,397351.0,13216.0,63906.57,0,tr,Turkish,search,10,2026-04-05 12:41:53
T_lC2O1oIew,竹内まりや -  Plastic Love (Official Music Video),竹内まりや - Mariya Takeuchi Official YouTube Channel,2021-11-11,2021,11,1605,PT5M9S,70972752,890828.0,16485.0,44219.78,0,ja,Japanese,search,10,2026-04-05 12:41:53
uPAbxLB3LhQ,Maná - Labios Compartidos (Letra),Retro Night,2026-04-01,2026,4,3,PT4M32S,540381,801.0,7.0,180127.0,1,es,Spanish,MX,22,2026-04-05 12:41:53
VnPFQ7nNu0U,Shiva Shiva Shankaraa Lyrical Video | Kannappa -Telugu | Vishnu Manchu | Mohan Babu | Mukesh Kumar S,T-Series Telugu,2025-02-10,2025,2,419,PT5M16S,40869299,355442.0,12279.0,97540.09,0,en,English,search,10,2026-04-05 12:41:53
